SKU,Tên sản phẩm,Thương hiệu,Danh mục,Đường dẫn
47,Sachi,,Thực phẩm chức năng,
45,Berocca,,Thực phẩm chức năng,
00002990,Thuốc Farzincol Pharmedic điều trị thiếu kẽm (10 vỉ x 10 viên),Pharmedic,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/farzincol-10mg-3786.html
00006780,"Thuốc bột pha hỗn dịch uống Smecta Ipsen hương cam & vani điều trị tiêu chảy, bảo vệ niêm mạc tiêu hoá (30 gói)",Ipsen,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/smecta-2236.html
00001954,"Thuốc Clorpheniramin 4 DHG điều trị viêm mũi dị ứng, chảy nước mũi (10 vỉ x 20 viên)",Dhg,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/clorpheniramin-4-200v-4228.html
00009723,Viên sủi Berocca Bayer bổ sung vitamin và khoáng chất (10 viên),Bayer,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/berocca-1515.html
00004244,"Viên nhai Kremil-S United điều trị đau dạ dày, giảm nóng rát dạ dày, ợ nóng, ợ chua (10 vỉ x 10 viên)",United,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/kremils-s-3315.html
00004206,Gel bôi da Klenzit MS điều trị mụn trứng cá (15g),Glenmark,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/klenzit-15g-3330.html
00008350,"Viên sủi Efferalgan 500mg UPSA SAS giảm đau, hạ sốt (4 vỉ x 4 viên)",Upsa Sas,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/efferalgan-500mg-1620.html
00010253,"Thuốc Eugica MEGA We care điều trị ho đờm, cảm cúm, sổ mũi (10 vỉ x 10 viên)",MEGA We care,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/eugica-vien-uong-dieu-tri-ho-cam-cum-490.html
00002441,Kem Differin Galderma điều trị mụn trứng cá (30g),Galderma,Thực phẩm chức năng,https://nhathuoclongchau.com.vn/thuoc/differin-0130mg-17372.html
